open time,O,H,L,C,volume,close time,quote,trades count,base volume,quote volume,unused
2017-08-17 09:00:00,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700,2017-08-18 08:59:59.999,3454770.05073206,3427,616.24854100,2678216.40060401,0
2017-08-18 09:00:00,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400,2017-08-19 08:59:59.999,5086958.30617151,5233,972.86871000,4129123.31651808,0
2017-08-19 09:00:00,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300,2017-08-20 08:59:59.999,1549483.73542151,2153,274.33604200,1118001.87008735,0
2017-08-20 09:00:00,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200,2017-08-21 08:59:59.999,1930364.39032646,2321,376.79594700,1557401.33373730,0
2017-08-21 09:00:00,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000,2017-08-22 08:59:59.999,2797231.71402728,3972,557.35610700,2255662.55315837,0
2017-08-22 09:00:00,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800,2017-08-23 08:59:59.999,3752505.77214051,6494,423.99518100,1637188.36934226,0
2017-08-23 09:00:00,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500,2017-08-24 08:59:59.999,4148686.46581968,8629,309.41909200,1293567.09519463,0
2017-08-24 09:00:00,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300,2017-08-25 08:59:59.999,3296476.41316476,6247,206.82041200,868379.06413120,0
2017-08-25 09:00:00,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000,2017-08-26 08:59:59.999,2484637.34936327,6554,100.09797400,434577.13574645,0
2017-08-26 09:00:00,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800,2017-08-27 08:59:59.999,977865.73333210,2260,56.19014100,241363.80050245,0
2017-08-27 09:00:00,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500,2017-08-28 08:59:59.999,1521580.06202557,3670,101.65135800,442442.17937215,0
2017-08-28 09:00:00,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600,2017-08-29 08:59:59.999,2591660.52579953,4349,142.78778200,612364.20611134,0
2017-08-29 09:00:00,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800,2017-08-30 08:59:59.999,2682483.73582991,4159,143.44256700,641982.02068658,0
2017-08-30 09:00:00,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100,2017-08-31 08:59:59.999,3683714.68666123,5551,196.06225200,894620.23750883,0
2017-08-31 09:00:00,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200,2017-09-01 08:59:59.999,2579878.72401184,4161,131.94732500,614342.53390234,0
2017-09-01 09:00:00,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600,2017-09-02 08:59:59.999,2665165.55924616,4000,118.66010300,566254.43089734,0
2017-09-02 09:00:00,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500,2017-09-03 08:59:59.999,4257723.94481700,7475,379.19986300,1738334.08541735,0
2017-09-03 09:00:00,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800,2017-09-04 08:59:59.999,3121052.75230181,6022,258.93453600,1169644.69159694,0
2017-09-04 09:00:00,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400,2017-09-05 08:59:59.999,5909947.49008974,9317,578.60085100,2460362.61291664,0
2017-09-05 09:00:00,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700,2017-09-06 08:59:59.999,5083453.18675071,10084,533.47606500,2214297.83961246,0
2017-09-06 09:00:00,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600,2017-09-07 08:59:59.999,3626346.05544323,7956,422.92306300,1903231.74091540,0
2017-09-07 09:00:00,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500,2017-09-08 08:59:59.999,2305795.13638315,3070,240.68394900,1111299.24357466,0
2017-09-08 09:00:00,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600,2017-09-09 08:59:59.999,4866527.22639337,4733,465.96211900,2004277.28941755,0
2017-09-09 09:00:00,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200,2017-09-10 08:59:59.999,2815383.46568698,3777,287.98980500,1233627.00774409,0
2017-09-10 09:00:00,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500,2017-09-11 08:59:59.999,2700371.80819211,3435,291.78688700,1193884.03650449,0
2017-09-11 09:00:00,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500,2017-09-12 08:59:59.999,2956842.76250147,4228,322.19833000,1361869.71324406,0
2017-09-12 09:00:00,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900,2017-09-13 08:59:59.999,3725190.62328952,6501,451.78067000,1911015.26637066,0
2017-09-13 09:00:00,4159.72000000,4165.38000000,3760.00000000,3944.69000000,913.46254500,2017-09-14 08:59:59.999,3570365.92571669,5019,363.05341300,1425986.44091325,0
2017-09-14 09:00:00,3944.00000000,3993.00000000,3165.13000000,3189.02000000,1665.02154300,2017-09-15 08:59:59.999,5914261.40460825,9066,761.15397600,2711572.43635069,0
2017-09-15 09:00:00,3188.01000000,3856.00000000,2817.00000000,3700.00000000,1968.86649200,2017-09-16 08:59:59.999,6588767.18669446,10445,966.12224500,3236325.66838306,0
2017-09-16 09:00:00,3674.01000000,3950.00000000,3470.66000000,3714.95000000,1297.56395300,2017-09-17 08:59:59.999,4804878.24721283,8809,624.88784200,2314536.03271908,0
2017-09-17 09:00:00,3685.23000000,3748.21000000,3499.02000000,3699.99000000,682.17121000,2017-09-18 08:59:59.999,2466490.27859466,6355,273.93197600,994843.63045949,0
2017-09-18 09:00:00,3690.00000000,4123.20000000,3690.00000000,4035.01000000,1030.00645500,2017-09-19 08:59:59.999,4069033.05715863,8220,417.63872200,1651863.37125876,0
2017-09-19 09:00:00,4060.00000000,4089.97000000,3830.91000000,3910.04000000,902.33212900,2017-09-20 08:59:59.999,3558315.19743872,7342,257.32035200,1016803.88177532,0
2017-09-20 09:00:00,3910.04000000,4046.08000000,3820.00000000,3900.00000000,720.93507600,2017-09-21 08:59:59.999,2839584.45308804,7231,395.27513800,1562210.14983916,0
2017-09-21 09:00:00,3889.99000000,3910.00000000,3567.00000000,3609.99000000,1001.65408400,2017-09-22 08:59:59.999,3757043.07821264,8714,517.25892600,1946238.63873747,0
2017-09-22 09:00:00,3592.84000000,3750.00000000,3505.55000000,3595.87000000,838.96642500,2017-09-23 08:59:59.999,3031771.43292849,8152,511.05986900,1848104.61254174,0
2017-09-23 09:00:00,3595.88000000,3817.19000000,3542.91000000,3780.00000000,752.79279100,2017-09-24 08:59:59.999,2799706.99951511,8402,431.94671000,1608679.14327472,0
2017-09-24 09:00:00,3779.54000000,3789.99000000,3622.76000000,3660.02000000,661.63639000,2017-09-25 08:59:59.999,2445788.43620041,8724,290.93917000,1077964.32638088,0
2017-09-25 09:00:00,3660.02000000,3979.87000000,3653.69000000,3920.75000000,727.99471300,2017-09-26 08:59:59.999,2784170.85318322,9740,298.83915900,1144089.17964881,0
2017-09-26 09:00:00,3928.00000000,3976.99000000,3850.05000000,3882.35000000,526.72798700,2017-09-27 08:59:59.999,2061195.57868009,7971,225.57028300,883925.01856330,0
2017-09-27 09:00:00,3882.36000000,4249.94000000,3872.81000000,4193.00000000,628.17096600,2017-09-28 08:59:59.999,2554629.81447101,8373,348.08364100,1418522.03112125,0
2017-09-28 09:00:00,4192.11000000,4300.00000000,4101.00000000,4174.50000000,849.78532500,2017-09-29 08:59:59.999,3553178.87037354,11426,364.51745200,1525467.35780567,0
2017-09-29 09:00:00,4178.98000000,4263.86000000,3952.01000000,4174.69000000,1602.30956500,2017-09-30 08:59:59.999,6571746.35900076,14834,660.40823500,2706153.81551434,0
2017-09-30 09:00:00,4175.00000000,4380.00000000,4138.10000000,4378.51000000,720.35318300,2017-10-01 08:59:59.999,3088354.40084536,9324,292.96669300,1258540.22252994,0
2017-10-01 09:00:00,4378.49000000,4406.52000000,4240.04000000,4378.48000000,726.96368500,2017-10-02 08:59:59.999,3137143.89184457,9816,291.97590400,1263465.86667018,0
2017-10-02 09:00:00,4400.00000000,4561.63000000,4360.00000000,4380.00000000,655.75697400,2017-10-03 08:59:59.999,2905282.77570845,8185,289.54140600,1286786.89051625,0
2017-10-03 09:00:00,4380.00000000,4467.33000000,4180.80000000,4310.00000000,1082.32356300,2017-10-04 08:59:59.999,4627422.74283879,12379,492.73518100,2107462.11039911,0
2017-10-04 09:00:00,4314.90000000,4373.00000000,4142.00000000,4208.59000000,868.46510100,2017-10-05 08:59:59.999,3676415.10054891,11006,292.92877700,1237552.36930596,0
2017-10-05 09:00:00,4208.59000000,4355.00000000,4110.00000000,4292.43000000,779.13863800,2017-10-06 08:59:59.999,3295532.82397779,9158,351.04201900,1483036.83360606,0
2017-10-06 09:00:00,4318.99000000,4417.00000000,4292.00000000,4369.00000000,506.52917600,2017-10-07 08:59:59.999,2212035.12414239,6546,226.14817700,988106.60264063,0
2017-10-07 09:00:00,4369.00000000,4479.50000000,4312.56000000,4423.00000000,297.59750000,2017-10-08 08:59:59.999,1302533.21459281,4804,145.31307600,637146.85809303,0
2017-10-08 09:00:00,4425.00000000,4658.00000000,4425.00000000,4640.00000000,518.46200400,2017-10-09 08:59:59.999,2347356.46944654,7580,280.09485400,1268660.82999198,0
2017-10-09 09:00:00,4640.00000000,4889.98000000,4550.00000000,4786.95000000,646.46314500,2017-10-10 08:59:59.999,3040508.90436387,10372,350.75655900,1654274.63749423,0
2017-10-10 09:00:00,4786.95000000,4960.00000000,4680.59000000,4783.06000000,1043.22177300,2017-10-11 08:59:59.999,5044283.86347582,11967,678.83267400,3289613.76073974,0
2017-10-11 09:00:00,4783.06000000,4881.61000000,4710.00000000,4821.43000000,753.42939600,2017-10-12 08:59:59.999,3609240.90903919,5895,540.08797500,2586977.71897445,0
2017-10-12 09:00:00,4821.43000000,5439.99000000,4810.16000000,5430.00000000,1276.70148200,2017-10-13 08:59:59.999,6659759.29119366,8030,796.59471900,4149667.59915114,0
2017-10-13 09:00:00,5439.99000000,5846.17000000,5379.84000000,5649.98000000,1879.82762000,2017-10-14 08:59:59.999,10597340.30104987,11663,878.63807700,4945786.36371635,0
2017-10-14 09:00:00,5650.00000000,5900.00000000,5580.01000000,5869.99000000,970.75904600,2017-10-15 08:59:59.999,5533972.48599470,6259,433.79490400,2472775.20446234,0
2017-10-15 09:00:00,5855.03000000,5922.30000000,5400.01000000,5709.99000000,1343.52337500,2017-10-16 08:59:59.999,7553650.20132813,7452,601.42236100,3384776.70651666,0
2017-10-16 09:00:00,5710.00000000,5788.91000000,5585.19000000,5760.02000000,1528.99646200,2017-10-17 08:59:59.999,8701914.79553535,9153,719.21853800,4096285.84717841,0
2017-10-17 09:00:00,5760.00000000,5774.98000000,5508.63000000,5595.00000000,1429.86937600,2017-10-18 08:59:59.999,8041662.31881055,9755,688.76677900,3874630.11789208,0
2017-10-18 09:00:00,5595.00000000,5596.00000000,5037.95000000,5512.06000000,2317.80437300,2017-10-19 08:59:59.999,12456909.97604373,14824,1039.62247500,5582555.96464678,0
2017-10-19 09:00:00,5513.00000000,5710.00000000,5490.26000000,5683.90000000,1881.72210700,2017-10-20 08:59:59.999,10609368.77338359,11553,866.17223400,4889254.26776489,0
2017-10-20 09:00:00,5683.31000000,6110.00000000,5600.00000000,6010.01000000,1972.97722000,2017-10-21 08:59:59.999,11486552.18880660,11656,833.03745700,4827682.43818362,0
2017-10-21 09:00:00,6013.72000000,6171.00000000,5850.03000000,6024.97000000,1664.30769300,2017-10-22 08:59:59.999,10114821.44026351,10182,796.02257500,4842552.09005084,0
2017-10-22 09:00:00,6003.27000000,6060.00000000,5720.03000000,5950.02000000,1362.09221600,2017-10-23 08:59:59.999,8035415.37335629,8846,559.07234200,3298113.25431534,0
2017-10-23 09:00:00,5975.00000000,6080.00000000,5621.03000000,5915.93000000,1812.55771500,2017-10-24 08:59:59.999,10607190.98072695,10736,733.79107900,4292971.67402233,0
2017-10-24 09:00:00,5909.47000000,5925.00000000,5450.00000000,5477.03000000,2580.41876700,2017-10-25 08:59:59.999,14564495.85056032,13075,1128.82611700,6369508.22114772,0
2017-10-25 09:00:00,5506.92000000,5704.96000000,5286.98000000,5689.99000000,2282.81320500,2017-10-26 08:59:59.999,12544847.89154201,12026,1102.09132600,6072831.20164732,0
2017-10-26 09:00:00,5670.10000000,5939.99000000,5650.00000000,5861.77000000,1972.96588200,2017-10-27 08:59:59.999,11417126.63602561,11429,779.73999700,4524676.60186949,0
2017-10-27 09:00:00,5861.77000000,5980.00000000,5649.24000000,5768.83000000,1403.70641600,2017-10-28 08:59:59.999,8167069.73635031,8305,624.08740900,3639525.74476665,0
2017-10-28 09:00:00,5768.79000000,5850.02000000,5630.03000000,5719.64000000,1276.75441200,2017-10-29 08:59:59.999,7308076.01911184,8556,522.43712800,2992463.28829385,0
2017-10-29 09:00:00,5709.98000000,6189.88000000,5648.01000000,6169.98000000,1804.77817300,2017-10-30 08:59:59.999,10620967.62459168,10651,954.17019600,5607341.71306722,0
2017-10-30 09:00:00,6133.01000000,6248.68000000,6030.00000000,6120.50000000,1473.68704300,2017-10-31 08:59:59.999,9030219.28673499,9027,568.13297000,3484470.96871416,0
2017-10-31 09:00:00,6120.52000000,6498.01000000,6100.00000000,6463.00000000,1511.77492500,2017-11-01 08:59:59.999,9487640.84009910,12503,666.76356800,4189144.86604943,0
2017-11-01 09:00:00,6463.00000000,6774.67000000,6338.02000000,6753.98000000,1675.61518800,2017-11-02 08:59:59.999,10951171.07254041,16775,681.76242400,4456444.95893702,0
2017-11-02 09:00:00,6753.98000000,7300.00000000,6685.10000000,7019.98000000,2503.61080300,2017-11-03 08:59:59.999,17369001.33091877,20222,1152.04304200,8002005.80575711,0
2017-11-03 09:00:00,7010.31000000,7346.34000000,6923.00000000,7115.04000000,1891.49759200,2017-11-04 08:59:59.999,13614451.74654126,15375,790.18634400,5689002.21482195,0
2017-11-04 09:00:00,7115.02000000,7480.99000000,6901.00000000,7357.09000000,1399.19176700,2017-11-05 08:59:59.999,10064538.39659038,13395,638.38726800,4597312.95311455,0
2017-11-05 09:00:00,7357.27000000,7590.25000000,7279.02000000,7345.01000000,1207.83233000,2017-11-06 08:59:59.999,9000403.86573288,11090,540.67519500,4027338.87761942,0
2017-11-06 09:00:00,7345.10000000,7401.00000000,6906.00000000,6960.12000000,1763.01926100,2017-11-07 08:59:59.999,12673524.62163980,13525,730.00378700,5258426.96569148,0
2017-11-07 09:00:00,6981.72000000,7198.49000000,6901.00000000,7064.04000000,1440.25949400,2017-11-08 08:59:59.999,10173272.33780804,13132,591.18799200,4181187.39303234,0
2017-11-08 09:00:00,7070.00000000,7770.02000000,6651.00000000,7303.00000000,2822.29880200,2017-11-09 08:59:59.999,20491286.19840822,24381,1291.34447200,9394534.42380506,0
2017-11-09 09:00:00,7303.01000000,7392.00000000,7015.00000000,7079.99000000,1913.39830800,2017-11-10 08:59:59.999,13798534.34721742,13818,724.15487800,5221300.62862515,0
2017-11-10 09:00:00,7079.00000000,7279.91000000,6255.01000000,6506.98000000,3254.70410500,2017-11-11 08:59:59.999,22083345.18396158,18889,1565.26143900,10594456.21115611,0
2017-11-11 09:00:00,6503.00000000,6797.98000000,6100.00000000,6245.05000000,2754.15686100,2017-11-12 08:59:59.999,17681445.46474999,17840,1127.47614800,7260382.61767693,0
2017-11-12 09:00:00,6245.05000000,6630.00000000,5325.01000000,5811.03000000,4968.48306900,2017-11-13 08:59:59.999,29711508.60084671,31069,2267.41074400,13607604.41635319,0
2017-11-13 09:00:00,5839.94000000,6697.47000000,5699.99000000,6465.99000000,2621.24303900,2017-11-14 08:59:59.999,16498136.09913936,16165,1299.99691900,8190123.54546063,0
2017-11-14 09:00:00,6465.99000000,6684.98000000,6311.07000000,6574.99000000,1254.29253100,2017-11-15 08:59:59.999,8168729.97122799,10476,612.13620200,3991112.73071270,0
2017-11-15 09:00:00,6575.99000000,7298.00000000,6575.99000000,7240.06000000,1779.60584500,2017-11-16 08:59:59.999,12446186.45092821,10313,958.59199000,6705958.03258740,0
2017-11-16 09:00:00,7240.14000000,7940.00000000,7076.00000000,7864.50000000,2331.95675000,2017-11-17 08:59:59.999,17499577.25815967,14961,1196.41071700,8973214.57023640,0
2017-11-17 09:00:00,7876.98000000,7989.00000000,7451.00000000,7699.19000000,3982.39592500,2017-11-18 08:59:59.999,31024092.61951179,22012,1910.20823700,14893068.96849563,0
2017-11-18 09:00:00,7680.01000000,7819.99000000,7422.00000000,7761.94000000,3954.26647700,2017-11-19 08:59:59.999,30334498.31525712,18383,1891.34032400,14512569.88845333,0
2017-11-19 09:00:00,7761.94000000,8123.15000000,7650.33000000,8038.00000000,3867.34044400,2017-11-20 08:59:59.999,30322635.76894570,14897,2097.61334600,16448877.84771707,0
2017-11-20 09:00:00,8057.11000000,8319.99000000,7954.00000000,8212.00000000,3886.63434800,2017-11-21 08:59:59.999,31567135.38731295,20101,1816.36633900,14741452.72913412,0
2017-11-21 09:00:00,8212.49000000,8400.00000000,7801.00000000,8119.51000000,4544.47401600,2017-11-22 08:59:59.999,37074997.58090905,20798,2222.29121500,18131894.11366924,0
2017-11-22 09:00:00,8091.09000000,8322.68000000,8091.09000000,8205.92000000,3545.00571000,2017-11-23 08:59:59.999,29124078.47217724,14752,1823.86037400,14992767.17647145,0
2017-11-23 09:00:00,8233.03000000,8260.00000000,8000.00000000,8019.99000000,4093.95268700,2017-11-24 08:59:59.999,33400702.99957629,16625,2163.75513100,17665030.24869222,0
2017-11-24 09:00:00,8019.97000000,8369.00000000,7850.00000000,8138.00000000,4411.78911200,2017-11-25 08:59:59.999,35840264.45804051,19754,2166.42527500,17613353.73937526,0